name;ep;watch;desc;deets;lat;lng;hulu
Eighth Move Is the Charm;Season: 118 Episode: 5;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/eighth-move-is-the-charm target="_blank">Watch on HGTV GO</a>";A military couple with two boys is offered the chance to live across the pond, so they pack their bags for the eighth time and move to Lincoln, England. They enlist the help of a property expert to ease the challenge of finding a home that strikes the balance between city and countryside living.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/eighth-move-is-the-charm target="_blank">here</a> for episode details.";53.2336301;-0.5392172;
Family Move to Groningen;Season: 145 Episode: 1;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/family-move-to-groningen target="_blank">Watch on HGTV GO</a>";A pastor, professor and their teen daughter are moving, sight unseen, from Kansas City to Groningen, Netherlands. They dream of an authentic experience, but their disagreements may place a genuine Dutch lifestyle beyond their reach.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/family-move-to-groningen target="_blank">here</a> for episode details.";53.2190652;6.5680077;
Luck of the Irish;Season: 134 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/luck-of-the-irish target="_blank">Watch on HGTV GO</a>";This couple fell in love with the Ireland when their son studied abroad there. Now they're hoping to lead a more relaxed life in the Emerald Isle but with change comes friction. She wants to take a break from working and experience city life but as the sole provider, he's hoping to stay close to his job. These two are no strangers to bickering but tensions reach an all-time high when the pot of gold they were looking for isn't at the end of the rainbow.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/luck-of-the-irish target="_blank">here</a> for episode details.";52.865196;-7.9794599;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d158
Heritage Hunting in County Clare, Ireland;Season: 151 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/heritage-hunting-in-county-clare-ireland target="_blank">Watch on HGTV GO</a>";An adopted woman and her husband move to Ireland to reconnect with her newfound roots. She wants nothing less than a quintessential Irish home, but he fears a rustic cottage could become an isolated nightmare and pushes for a walkable town location.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/heritage-hunting-in-county-clare-ireland target="_blank">here</a> for episode details.";52.85725745;-8.937435926;
Swimming to Limerick;Season: 133 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/swimming-to-limerick target="_blank">Watch on HGTV GO</a>";"Competitive swim coaches Mark and Sarah were ready to jump the pond when she was offered a position in Limerick, Ireland. Rents in Limerick are high and living on one income will be an adjustment. He wants to be comfortable, but finding his "Little Irish Castle" for $1,400 a month will be like hunting for a pot of gold at the end of the rainbow.";"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/swimming-to-limerick target="_blank">here</a> for episode details.";52.661252;-8.6301239;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d157
Romanian Doctors in Ireland;Season: 122 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/romanian-doctors-in-ireland target="_blank">Watch on HGTV GO</a>";Doctors leave the comforts of Romania behind for a job opportunity and a chance to raise their daughter bilingual in Limerick, Ireland. She wants a cozy home with easy access to amenities, but he prefers a house closer to his new job.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/romanian-doctors-in-ireland target="_blank">here</a> for episode details.";52.661252;-8.6301239;
Negotiating in Norwich;Season: 102 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/negotiating-in-norwich target="_blank">Watch on HGTV GO</a>";When Alex lands a job in the United Kingdom, he and his wife Christine are both skeptical about leaving family and friends in Columbus, Ohio, but they decide to take a leap of faith and move to Norwich, England. However, location turns out to be an issue when they start to look for a place to live. Will Alex get his way and have a convenient commute every single day or will Christine get her way and live in the city center?;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/10200/negotiating-in-norwich target="_blank">here</a> for episode details.";52.628606;1.29227;
Negotiating in Norwich;Season: 116 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/negotiating-in-norwich target="_blank">Watch on HGTV GO</a>";Robbie and Lindsay decide to move their two small children from Portland, Oregon, to Norwich, England, to expand his computer consulting business. Lindsay isn't sold on raising the kids in the city, but Robbie doesn't want a long commute to his office every day, so they'll have to negotiate schools, commute and budget in their quest to find the perfect English home.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/negotiating-in-norwich target="_blank">here</a> for episode details.";52.628606;1.29227;
Berlin on a Budget;Season: 137 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/berlin-on-a-budget target="_blank">Watch on HGTV GO</a>";Young Canadian newlyweds fell in love with Germany on their honeymoon, so they decided to pack up and pursue graduate school in Berlin. Between the two of them they have big dreams, but they will have to get creative on a shoestring student budget.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/berlin-on-a-budget target="_blank">here</a> for episode details.";52.5170365;13.3888599;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d156
Finding Balance in Berlin;Season: 120 Episode: 10;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/finding-balance-in-berlin target="_blank">Watch on HGTV GO</a>";A couple is taking advantage of his German citizenship and moving the family to Berlin. He'll be broadcasting his Seattle radio show abroad and wants a home with a work studio close to activities Berlin has to offer. However, she prefers a house close to the kids' school, even it means being further away from the city center.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/finding-balance-in-berlin target="_blank">here</a> for episode details.";52.5170365;13.3888599;
